"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SULT1C3",106.102423381734,-10.1601958915847,1.81047458784285,-5.61189643854124,2.00121198165685e-08,2.79399538415469e-07
"CSN1S1",106.630584205677,-7.81030027825134,0.8585764879245,-9.09680196010464,9.303078051823e-20,2.09379553894131e-17
"LOC124900989",76.1118406344563,-7.56590848243033,0.823039749056255,-9.19264044185695,3.83314529916162e-20,9.22497651353679e-18
"MYOC",302.054805417509,-6.73486387937481,0.851883470871881,-7.90585110482523,2.66109101016419e-15,1.75293060119406e-13
"CA4",455.595583713286,-6.51911337740624,0.678223436978849,-9.61204379259684,7.11230014686728e-22,2.83407671590005e-19
"LALBA",25.512694738509,-6.47514733449759,1.1976002129471,-5.40676868999821,6.41719310482189e-08,7.94613921543075e-07
"HSD3BP2",16.2004196533669,-6.33980591113025,1.03811988690474,-6.10700747678865,1.01516485211071e-09,1.92477473168916e-08
"DLK1",180.558723354486,-6.27096847823157,0.789464035946902,-7.94332381551748,1.96834204223301e-15,1.33908554963044e-13
"UGT2B28",153.765837844982,-6.23009706105531,0.990382989339993,-6.29059376838363,3.16253947210233e-10,6.69032610516896e-09
"APOB",284.025225737061,-6.22885520067403,0.670250780895261,-9.29332031863368,1.49548734194905e-20,4.15944894289613e-18
"ADGRD2",154.806321578014,-6.20229086067943,0.738894822299867,-8.39401045114151,4.6983435541551e-17,4.83909477842576e-15
"PCK1",1813.97430936465,-6.0059246434516,0.828859740934734,-7.24600839784849,4.29233509840833e-13,1.70931825133846e-11
"SPX",853.01331824243,-6.00000659533246,0.716180550010035,-8.37778489690678,5.39330965439778e-17,5.39486328269329e-15
"C14orf180",575.378876784673,-5.92879432490019,0.787952624346671,-7.52430303765539,5.3002286143901e-14,2.56638758824662e-12
"GLYAT",389.703923167864,-5.89343750710563,0.764394323407792,-7.70994410428344,1.25872855752572e-14,7.08238774254112e-13
"PNLIPRP3",7.38241879824282,-5.77390058459892,0.93954937075239,-6.14539348791771,7.97655243898379e-10,1.55731775208337e-08
"LINCADL",233.909815513913,-5.77254251911906,0.845505269411939,-6.82732885051556,8.65102379267073e-12,2.59926372470269e-10
"CIDEA",1584.22729351748,-5.72519137148504,0.840226382706707,-6.81386765438369,9.5009115998612e-12,2.83360316880768e-10
