"","ids","tissue_type","sizeFactor","replaceable"
"TCGABHA0HU01A11RA03407","TCGABHA0HU01A11RA03407","tumor",1.07557928218604,TRUE
"TCGABHA0GY01A11RA05607","TCGABHA0GY01A11RA05607","tumor",0.80103518137409,TRUE
"TCGAA2A0EU01A22RA05607","TCGAA2A0EU01A22RA05607","tumor",0.941527224361728,TRUE
"TCGAB6A0IJ01A11RA03407","TCGAB6A0IJ01A11RA03407","tumor",1.25071589889481,TRUE
"TCGABHA1EU01A11RA13707","TCGABHA1EU01A11RA13707","tumor",2.02911072402165,TRUE
"TCGAANA0XL01A11RA10J07","TCGAANA0XL01A11RA10J07","tumor",1.052880457714,TRUE
"TCGAA2A0YI01A31RA10J07","TCGAA2A0YI01A31RA10J07","tumor",1.2756533800426,TRUE
"TCGABHA18Q01A12RA12D07","TCGABHA18Q01A12RA12D07","tumor",0.940435916056591,TRUE
"TCGAE2A15L01A11RA12D07","TCGAE2A15L01A11RA12D07","tumor",1.15493871588385,TRUE
"TCGAB6A0WV01A11RA10907","TCGAB6A0WV01A11RA10907","tumor",0.832211294617857,TRUE
"TCGAANA0G001A11RA03407","TCGAANA0G001A11RA03407","tumor",1.12736193442712,TRUE
"TCGAA8A08F01A11RA00Z07","TCGAA8A08F01A11RA00Z07","tumor",0.90879077124526,TRUE
"TCGAARA0TU01A31RA10907","TCGAARA0TU01A31RA10907","tumor",1.1079735981933,TRUE
"TCGAA2A0YJ01A11RA10907","TCGAA2A0YJ01A11RA10907","tumor",0.775496862227311,TRUE
"TCGAE2A15301A12RA12D07","TCGAE2A15301A12RA12D07","tumor",0.673143960618773,TRUE
"TCGAARA0TW01A11RA08407","TCGAARA0TW01A11RA08407","tumor",0.967072938828067,TRUE
"TCGAD8A13Z01A11RA11507","TCGAD8A13Z01A11RA11507","tumor",1.34274309945041,TRUE
"TCGAANA0FJ01A11RA00Z07","TCGAANA0FJ01A11RA00Z07","tumor",0.587485692386248,TRUE
"TCGAA2A0EV01A11RA03407","TCGAA2A0EV01A11RA03407","tumor",1.05659440859655,TRUE
"TCGAB6A0X701A11RA10J07","TCGAB6A0X701A11RA10J07","tumor",1.17939452727321,TRUE
"TCGABHA18U11A23RA12D07","TCGABHA18U11A23RA12D07","normal",0.860364796977749,TRUE
"TCGABHA18S11A43RA12D07","TCGABHA18S11A43RA12D07","normal",0.809034660142913,TRUE
"TCGABHA0AZ11A22RA12P07","TCGABHA0AZ11A22RA12P07","normal",1.38866642822912,TRUE
"TCGABHA0H511A62RA11507","TCGABHA0H511A62RA11507","normal",1.04284958812765,TRUE
"TCGABHA1EU11A23RA13707","TCGABHA1EU11A23RA13707","normal",0.678122946362613,TRUE
"TCGABHA0DZ11A22RA08907","TCGABHA0DZ11A22RA08907","normal",0.882400743748308,TRUE
"TCGABHA1EO11A31RA13707","TCGABHA1EO11A31RA13707","normal",1.5113555009058,TRUE
"TCGAE2A15K11A13RA12P07","TCGAE2A15K11A13RA12P07","normal",0.843095330553933,TRUE
"TCGABHA0BW11A12RA11507","TCGABHA0BW11A12RA11507","normal",1.01521092392166,TRUE
"TCGABHA18N11A43RA12D07","TCGABHA18N11A43RA12D07","normal",1.2282959504949,TRUE
"TCGABHA0DT11A12RA12D07","TCGABHA0DT11A12RA12D07","normal",1.11939342957057,TRUE
"TCGAE2A15I11A32RA13707","TCGAE2A15I11A32RA13707","normal",0.69241807814682,TRUE
"TCGABHA0HA11A31RA12P07","TCGABHA0HA11A31RA12P07","normal",1.05879937817064,TRUE
"TCGABHA1EV11A24RA13707","TCGABHA1EV11A24RA13707","normal",1.75915540475336,TRUE
"TCGABHA0DK11A13RA08907","TCGABHA0DK11A13RA08907","normal",1.30814696267689,TRUE
"TCGABHA0C011A21RA08907","TCGABHA0C011A21RA08907","normal",1.37748958316582,TRUE
"TCGABHA0H911A22RA46607","TCGABHA0H911A22RA46607","normal",0.542788941311332,TRUE
"TCGABHA18P11A43RA12D07","TCGABHA18P11A43RA12D07","normal",0.894860716030945,TRUE
"TCGABHA0B511A23RA12P07","TCGABHA0B511A23RA12P07","normal",0.772028626471322,TRUE
"TCGABHA0E011A13RA08907","TCGABHA0E011A13RA08907","normal",0.85929900788449,TRUE
