"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBSP",73.59674090072,7.63983296253529,0.651262748255443,11.7307998699455,8.86172700777265e-32,4.3080399675586e-28
"COL10A1",2404.71373723371,7.00078694089292,0.489436402259301,14.3037724790726,2.07262670283755e-46,2.51896686329361e-42
"S100G",100.636608395411,6.76933266884788,1.74485865380928,3.87958798500352,0.000104633548602695,0.000549467917640007
"CST1",200.206602862958,6.62195658680451,0.955150276341398,6.9328950122584,4.12314212299364e-12,1.30837096062149e-10
"PRAME",925.907182274097,6.59962416869335,0.835874939878371,7.89546839345808,2.89226964574742e-15,1.87974326949686e-13
"SPANXB1",8.93262974850084,6.41059472596202,2.04015896452523,3.14220354268024,0.00167681423796775,0.00605981618826675
"MMP11",6329.11670847973,6.30919257729548,0.365550833057339,17.259412390139,9.50734782055244e-67,2.31095103474168e-62
"TLX1",66.6097006163378,6.18009033566604,1.20549727896801,5.12659003341476,2.95036999036938e-07,3.08848593264033e-06
"MMP13",360.718429874016,6.07955911715443,0.611627063000573,9.93997729160119,2.78890707841373e-23,1.57651079895355e-20
"COL11A1",3644.79191922249,6.02123518199216,0.504712814421155,11.9300224007544,8.25512773791543e-33,5.01643474813776e-29
"GABRA5",6.70940572667281,6.01921809938299,1.26249082009953,4.76773217163549,1.86311233570878e-06,1.58068661584898e-05
"MAGEA3",8.84076554687577,5.97355065609192,1.55599019454725,3.83906703077269,0.000123502712803556,0.000633596547090762
"MAGEA6",8.84076554687577,5.97355065609192,1.55599019454725,3.83906703077269,0.000123502712803556,0.000633596547090762
"HOXB13",128.875226808894,5.94145184848594,1.14178119010863,5.20366940702594,1.95391468923695e-07,2.12405207295539e-06
"MMP1",408.456342982095,5.74343345606705,0.683434428535025,8.40378127917609,4.32327561621527e-17,4.48664418792757e-15
"EPYC",37.066413018704,5.60875928545609,0.625272714637128,8.97010081226891,2.96243170560319e-19,5.76062619744774e-17
"DSCAM-AS1",54.4323693872856,5.57312421497907,1.31256118581029,4.24599193944515,2.17628454184279e-05,0.000138660415094555
"NTMT2",5.96226632886589,5.55333740935469,0.810909033449107,6.84828652818703,7.47397561925915e-12,2.27656548091895e-10
"SLC24A2",82.9478431143659,5.51734473377305,0.61622045416526,8.95352417544614,3.44310414036656e-19,6.53840096405391e-17
"LINC01614",92.8534855205508,5.50136261777756,0.511042832566256,10.764973632742,5.03759728517626e-27,7.65305482567371e-24
"SLC30A8",562.862722623385,5.45746353597771,0.947182101472711,5.76178912955836,8.32269405111446e-09,1.27956814864288e-07
"CLEC3A",1645.98772849945,5.28074206261165,1.17536880569968,4.4928383644384,7.02801271002374e-06,5.14392968812246e-05
"CA9",139.426188482866,5.2099049563438,0.723552088463715,7.20045597187861,6.00115335276749e-13,2.29716589835779e-11
"EPIST",5.19263838928201,5.19317237784988,0.7692295512174,6.75113478106899,1.46693245296578e-11,4.19382075372786e-10
"CBLN2",71.4026588826176,5.17625386614143,0.78744910549803,6.57344561064382,4.91640374509087e-11,1.23326136049457e-09
"LOC107986951",7.91761086225179,5.15782565654472,0.767891864082537,6.7168645714292,1.85676385980435e-11,5.16980058880463e-10
"GRM4",110.732846763305,5.11459679286718,0.610326097020841,8.38010502554757,5.28804959420186e-17,5.3334697712143e-15
"SPDYC",43.694980292298,5.05266941474309,0.830449813731062,6.08425618405808,1.17033347505236e-09,2.18993808915301e-08
"TMEM215",12.0013646891281,4.98184173866335,0.816599617227978,6.10071525085289,1.05594875287353e-09,1.99432372463845e-08
"TYRP1",43.0692522904043,4.93598897602813,0.704028464459394,7.01106450265239,2.36511657026648e-12,7.93695771468796e-11
"PRSS33",43.9657413518381,4.92962966500198,1.30747482856255,3.77034383936988,0.000163022785770577,0.000805896858597808
"BMPR1B-DT",16.0470351809651,4.92863263031981,0.946439974393632,5.20754909309225,1.91351221309614e-07,2.08385938009533e-06
"CASP14",94.2047585979533,4.88523541051258,0.793673335524037,6.15522179195677,7.49724983050957e-10,1.47082850387567e-08
"ACTG1P22",33.1759251426443,4.86919324947328,1.22487024754549,3.97527269458183,7.02986590936195e-05,0.000386594910992898
"BMPR1B",2924.35368978886,4.81592507196996,0.674974001469734,7.13497862359653,9.68022025529864e-13,3.54897607459343e-11
"LINC00052",7.23589245874924,4.80443680302001,1.16711046091688,4.11652278332391,3.84631323766715e-05,0.00022764143138051
"CDC20B",23.5633298040131,4.74514365651492,0.831375703871888,5.7075803808264,1.14593508048765e-08,1.7031393001388e-07
"MS4A15",66.4412153475853,4.72175554750593,0.863233560708906,5.46984705231841,4.50424108250918e-08,5.81128386372349e-07
"MAGEA1",5.21720815968202,4.71432428493951,1.38440951416105,3.40529607512585,0.000660923548904378,0.00271598794644442
"LINC02475",12.9122740424501,4.61118330049044,1.00612994301877,4.58308922469315,4.5815642630759e-06,3.52417982729703e-05
"LOC105372281",3.8343406330476,4.57320096758608,0.874998531027418,5.22652416595061,1.7272625316974e-07,1.90233667231394e-06
"CSAG2",3.03107722706395,4.55600872533433,1.25455670778204,3.63156858280963,0.00028170377009513,0.0012955093389753
"CSAG3",3.03107722706395,4.55600872533433,1.25455670778204,3.63156858280963,0.00028170377009513,0.0012955093389753
